Information and diagnostics 
=========================== 
Total iter:                       5000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.04 
Min n.eff:                        0 


Model summary 
============= 
                   mean          sd        2.5%         50%       97.5% Rhat n.eff
mean.rO[2]   0.50347140 0.164746265  0.19237357  0.50157817  0.80740307 1.00  3788
mean.rO[3]   0.60247492 0.149163059  0.29719800  0.61059116  0.86795276 1.00  3595
mean.rO[4]   0.55107433 0.157427603  0.23451441  0.55251883  0.84307202 1.00  3447
mean.rO[5]   0.71480602 0.117017689  0.46653125  0.72489792  0.91364284 1.00  3237
mean.rO[6]   0.76623402 0.098872279  0.55329740  0.77549135  0.92626820 1.00  3090
mean.rO[7]   0.63731911 0.139319146  0.34830119  0.64609958  0.88011962 1.00  3386
mean.rO[8]   0.69396950 0.123333737  0.43032449  0.70474960  0.90122826 1.01  3478
mean.rO[9]   0.71530092 0.117286498  0.46678119  0.72869736  0.90896694 1.00  3072
mean.rO[10]  0.78749410 0.091967861  0.58601273  0.79708040  0.93611174 1.00  3063
mean.rO[11]  0.59809376 0.150449006  0.29358278  0.60341619  0.86883923 1.00  3326
mean.rO[12]  0.59813133 0.148081256  0.29357918  0.60406129  0.85794030 1.00  3360
mean.rO[13]  0.79732745 0.087790792  0.60175162  0.80803919  0.93800756 1.00  3172
mean.rO[14]  0.76436710 0.096581440  0.55486687  0.77209247  0.92617539 1.01  3383
mean.rO[15]  0.73334719 0.111054224  0.49044325  0.74494140  0.91612133 1.00  3310
mean.rO[16]  0.78769300 0.091043357  0.58507293  0.79753609  0.93524683 1.00  3086
mean.rO[17]  0.79982250 0.087422674  0.60336815  0.80882768  0.93949419 1.00  2962
mean.rO[18]  0.78036042 0.093393031  0.57517660  0.79039178  0.93505702 1.00  3515
mean.rO[19]  0.73464568 0.109919926  0.49927456  0.74463097  0.91250673 1.00  3153
mean.rO[20]  0.47422798 0.144856724  0.20247122  0.46869184  0.76146852 1.00  1140
mean.rR[1]   0.49968274 0.165599219  0.18648809  0.49885649  0.81451281 1.00 14347
mean.rR[2]   0.49866165 0.166509053  0.19050756  0.49962459  0.81491274 1.00  3669
mean.rR[3]   0.50419171 0.165885224  0.17445202  0.50830827  0.80990452 1.00  3423
mean.rR[4]   0.55373973 0.157050365  0.24797679  0.55971036  0.84599045 1.00  3482
mean.rR[5]   0.49891332 0.163377504  0.19198984  0.49578071  0.81378672 1.00  3846
mean.rR[6]   0.60267255 0.148928413  0.29403767  0.60841159  0.86748375 1.00  3447
mean.rR[7]   0.50018437 0.163985777  0.18411279  0.50245218  0.80729977 1.00  3562
mean.rR[8]   0.50286700 0.169083442  0.18304993  0.50401537  0.82076961 1.00  3382
mean.rR[9]   0.50064685 0.169466862  0.18272999  0.50147807  0.82172078 1.00  3394
mean.rR[10]  0.50485342 0.166453655  0.19291117  0.50536684  0.81877191 1.00  3591
mean.rR[11]  0.49985825 0.167871336  0.17590402  0.50111577  0.81544305 1.00  3365
mean.rR[12]  0.55532908 0.160008602  0.24175735  0.55724708  0.85435709 1.00  3366
mean.rR[13]  0.55381391 0.157967517  0.24030176  0.55595122  0.84425074 1.00  3411
mean.rR[14]  0.50163521 0.165489126  0.18835636  0.50065445  0.81000292 1.00  3741
mean.rR[15]  0.55694936 0.157878749  0.23986795  0.56067788  0.83882264 1.00  3430
mean.rR[16]  0.50227197 0.165294135  0.18731042  0.50368844  0.81498437 1.00  3516
mean.rR[17]  0.49797939 0.167076308  0.17741489  0.49933123  0.81205940 1.00  3489
mean.rR[18]  0.50233556 0.167217438  0.18377897  0.50100009  0.82094880 1.00  3406
mean.rR[19]  0.50469430 0.163440661  0.19184902  0.50641947  0.81427241 1.01  3596
mean.rR[20]  0.47949256 0.167643386  0.16656033  0.47645985  0.80469831 1.00  3334
mu.juv       0.77857076 0.058215178  0.65138360  0.78245663  0.87830135 1.00  2584
mu.pre       0.95775169 0.009709215  0.93682235  0.95856041  0.97465048 1.00  2162
mu.pri       0.96166035 0.008423979  0.94321825  0.96242766  0.97643935 1.00  2220
mu.sen       0.95497867 0.008144237  0.93589378  0.95594027  0.96827169 1.00   926
mu.sub       0.91949302 0.021121570  0.87260715  0.92115342  0.95643981 1.00  2220
sigma.phi    0.38110931 0.170433283  0.12578951  0.36643252  0.76670962 1.04    54
veg[1]       1.51270701 0.000000000  1.51270701  1.51270701  1.51270701  NaN     0
veg[2]       0.25792144 0.000000000  0.25792144  0.25792144  0.25792144  NaN     0
veg[3]       0.08844023 0.000000000  0.08844023  0.08844023  0.08844023  NaN     0
veg[4]      -0.12089654 0.000000000 -0.12089654 -0.12089654 -0.12089654  NaN     0
veg[5]      -1.19432890 0.000000000 -1.19432890 -1.19432890 -1.19432890  NaN     0
veg[6]       0.61199690 0.000000000  0.61199690  0.61199690  0.61199690  NaN     0
veg[7]      -0.21713985 0.000000000 -0.21713985 -0.21713985 -0.21713985  NaN     0
veg[8]      -0.18275671 0.000000000 -0.18275671 -0.18275671 -0.18275671  NaN     0
veg[9]       0.93334633 0.000000000  0.93334633  0.93334633  0.93334633  NaN     0
veg[10]      0.82177311 0.000000000  0.82177311  0.82177311  0.82177311  NaN     0
veg[11]      1.39211638 0.000000000  1.39211638  1.39211638  1.39211638  NaN     0
veg[12]     -0.47617392 0.000000000 -0.47617392 -0.47617392 -0.47617392  NaN     0
veg[13]      0.65034856 0.000000000  0.65034856  0.65034856  0.65034856  NaN     0
veg[14]      1.39111046 0.000000000  1.39111046  1.39111046  1.39111046  NaN     0
veg[15]     -1.11078888 0.000000000 -1.11078888 -1.11078888 -1.11078888  NaN     0
veg[16]     -0.86079259 0.000000000 -0.86079259 -0.86079259 -0.86079259  NaN     0
veg[17]     -1.13173868 0.000000000 -1.13173868 -1.13173868 -1.13173868  NaN     0
veg[18]     -1.45921400 0.000000000 -1.45921400 -1.45921400 -1.45921400  NaN     0
veg[19]      0.07998255 0.000000000  0.07998255  0.07998255  0.07998255  NaN     0
