Information and diagnostics 
=========================== 
Total iter:                       5000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.04 
Min n.eff:                        0 


Model summary 
============= 
                    mean          sd        2.5%          50%       97.5% Rhat n.eff
mean.rO[6]   0.634242070 0.140637315  0.34608481  0.641256454  0.87886673 1.00  3481
mean.rO[7]   0.838686106 0.072210586  0.67995769  0.846114089  0.95154808 1.00  3032
mean.rO[8]   0.633792505 0.140918066  0.34392995  0.643829189  0.87682990 1.00  3225
mean.rO[9]   0.789246493 0.091714284  0.58712099  0.799725007  0.93522889 1.00  3185
mean.rO[10]  0.798824955 0.088094339  0.60469107  0.808694871  0.93464105 1.00  3092
mean.rO[11]  0.667649829 0.130207747  0.38789910  0.679601326  0.88772450 1.00  3429
mean.rO[12]  0.636209150 0.139264683  0.35294690  0.645122008  0.88040418 1.00  3349
mean.rO[13]  0.749621593 0.106732919  0.51554417  0.761197246  0.92084568 1.00  3205
mean.rO[14]  0.495453115 0.166687013  0.17834962  0.495256496  0.80696117 1.00  3665
mean.rO[15]  0.776663007 0.094888834  0.56543794  0.785572105  0.93127948 1.00  3089
mean.rO[16]  0.604375662 0.147007971  0.30516911  0.610620992  0.87095442 1.00  3577
mean.rO[17]  0.342376990 0.155685504  0.09332535  0.323784213  0.68992994 1.01  1735
mean.rR[1]   0.500079582 0.166711540  0.18360046  0.497809452  0.81599789 1.00 15212
mean.rR[2]   0.557441034 0.155351227  0.25395922  0.562725170  0.84012916 1.00  3380
mean.rR[3]   0.506513993 0.164474992  0.18415318  0.509630790  0.81812525 1.00  3651
mean.rR[4]   0.555040889 0.153831890  0.25241200  0.556837794  0.82903709 1.00  3568
mean.rR[5]   0.554351775 0.155467132  0.24616432  0.558854785  0.83403185 1.00  3639
mean.rR[6]   0.638641457 0.138577603  0.35315465  0.648574274  0.87946567 1.00  3269
mean.rR[7]   0.556635550 0.158429809  0.24675507  0.561919912  0.84193339 1.00  3275
mean.rR[8]   0.560062688 0.155789617  0.25013181  0.564249782  0.84966047 1.00  3662
mean.rR[9]   0.715883138 0.113113075  0.47582175  0.725353005  0.90983328 1.00  3706
mean.rR[10]  0.694795995 0.124631636  0.42987252  0.703596394  0.90441427 1.00  3169
mean.rR[11]  0.636030357 0.136271949  0.35248553  0.644480501  0.87938839 1.00  3407
mean.rR[12]  0.555329206 0.155380704  0.24393251  0.562386239  0.83550244 1.00  3544
mean.rR[13]  0.503331447 0.166924893  0.18496581  0.503353913  0.81518164 1.00  3396
mean.rR[14]  0.668625222 0.131436013  0.39558855  0.676075456  0.88997620 1.00  3321
mean.rR[15]  0.596452347 0.149374731  0.29087141  0.602590840  0.85891890 1.00  3441
mean.rR[16]  0.552809643 0.157079984  0.24202199  0.554260713  0.83571391 1.00  3595
mean.rR[17]  0.441444807 0.166100560  0.15118221  0.432997681  0.77336352 1.00  2841
mu.juv       0.946713401 0.033663349  0.86264354  0.954182971  0.98694453 1.01   773
mu.pre       0.911730243 0.035047185  0.83187894  0.916470916  0.96814787 1.02   442
mu.pri       0.972869477 0.012723971  0.94302788  0.974815495  0.98953065 1.04   499
mu.sen       0.776289703 0.057455170  0.64883087  0.783704541  0.86892478 1.01   443
mu.sub       0.973033904 0.013048730  0.94107868  0.975344949  0.99106193 1.01   764
sigma.phi    1.187543545 0.246409228  0.79859028  1.158123179  1.73337071 1.01   224
veg[1]       0.498378168 0.886614197 -1.25025697  0.510989969  2.23974765 1.00  2689
veg[2]       1.786000000 0.000000000  1.78600000  1.786000000  1.78600000  NaN     0
veg[3]       2.190000000 0.000000000  2.19000000  2.190000000  2.19000000  NaN     0
veg[4]       1.651000000 0.000000000  1.65100000  1.651000000  1.65100000  NaN     0
veg[5]      -0.549000000 0.000000000 -0.54900000 -0.549000000 -0.54900000  NaN     0
veg[6]      -0.447000000 0.000000000 -0.44700000 -0.447000000 -0.44700000  NaN     0
veg[7]      -0.953000000 0.000000000 -0.95300000 -0.953000000 -0.95300000  NaN     0
veg[8]      -0.518000000 0.000000000 -0.51800000 -0.518000000 -0.51800000  NaN     0
veg[9]      -0.537000000 0.000000000 -0.53700000 -0.537000000 -0.53700000  NaN     0
veg[10]     -0.664000000 0.000000000 -0.66400000 -0.664000000 -0.66400000  NaN     0
veg[11]     -0.509000000 0.000000000 -0.50900000 -0.509000000 -0.50900000  NaN     0
veg[12]     -0.377000000 0.000000000 -0.37700000 -0.377000000 -0.37700000  NaN     0
veg[13]      0.075000000 0.000000000  0.07500000  0.075000000  0.07500000  NaN     0
veg[14]     -0.243000000 0.000000000 -0.24300000 -0.243000000 -0.24300000  NaN     0
veg[15]     -0.510000000 0.000000000 -0.51000000 -0.510000000 -0.51000000  NaN     0
veg[16]     -0.394000000 0.000000000 -0.39400000 -0.394000000 -0.39400000  NaN     0
veg[17]     -0.004663592 0.998683443 -1.97168932  0.001511570  1.96607645 1.00 15257
