Information and diagnostics 
=========================== 
Total iter:                       5000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.02 
Min n.eff:                        1454 


Model summary 
============= 
                  mean          sd       2.5%        50%      97.5% Rhat n.eff
mean.rR[4]  0.55528166 0.158356612 0.23750478 0.55828819 0.84765133 1.00  3293
mean.rR[5]  0.55677132 0.157070499 0.24503294 0.56164235 0.84107966 1.00  3283
mean.rR[6]  0.63897865 0.139941332 0.34845861 0.64943339 0.88263773 1.00  3555
mean.rR[7]  0.55537208 0.157782658 0.24296345 0.55495617 0.84126055 1.00  3733
mean.rR[8]  0.55371531 0.158141005 0.23689592 0.55846043 0.84034055 1.00  3597
mean.rR[9]  0.71860511 0.115521576 0.46857882 0.73123253 0.90982694 1.00  3292
mean.rR[10] 0.68912515 0.123488839 0.42555262 0.69921085 0.89920331 1.00  3396
mean.rR[11] 0.63261431 0.139404054 0.34125572 0.64252150 0.87597288 1.00  3517
mean.rR[12] 0.55726848 0.157569372 0.24404200 0.56103369 0.85356571 1.00  3472
mean.rR[13] 0.49584683 0.168153414 0.17923342 0.49496195 0.82330874 1.00  3706
mean.rR[14] 0.66690697 0.130573587 0.39853065 0.67759393 0.89675987 1.00  3123
mean.rR[15] 0.59950973 0.147759833 0.29862621 0.60582299 0.85860105 1.00  3559
mean.rR[16] 0.55395552 0.157793188 0.24875318 0.55802707 0.84686496 1.00  3471
mean.rR[17] 0.40338673 0.158284518 0.13199692 0.39100516 0.73998871 1.00  2914
mu.juv      0.97004406 0.011831358 0.94234778 0.97150666 0.98936859 1.01  3370
mu.pre      0.90618965 0.015513947 0.87272298 0.90705120 0.93397936 1.00  3047
mu.pri      0.96730629 0.007270805 0.95169335 0.96789987 0.98011161 1.00  3231
mu.sen      0.81247872 0.020309024 0.77223932 0.81318225 0.85039104 1.00  3138
mu.sub      0.96156364 0.010148957 0.93957011 0.96247379 0.97895814 1.00  2986
