Information and diagnostics 
=========================== 
Total iter:                       5000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.06 
Min n.eff:                        0 


Model summary 
============= 
                    mean          sd         2.5%          50%       97.5% Rhat n.eff
mean.rR[16]  0.555666597 0.157304434  0.243580689  0.557215380  0.84333970 1.01  3729
mean.rR[17]  0.463880149 0.164591025  0.163847492  0.461838195  0.78569566 1.00  3113
mu.juv       0.969166487 0.017253679  0.927640380  0.972687039  0.99125679 1.03  1046
mu.pre       0.936417113 0.023713580  0.882045329  0.939641636  0.97237418 1.00   545
mu.pri       0.973408054 0.010974391  0.946634677  0.975182160  0.98929009 1.02   649
mu.sen       0.782635079 0.053009729  0.663513156  0.787203115  0.87046978 1.00   456
mu.sub       0.970999290 0.012785696  0.939663359  0.973105665  0.98931374 1.00   832
sigma.phi    1.170182116 0.211643269  0.821433283  1.146024516  1.63659718 1.06   378
veg[1]      -0.225464874 0.928172203 -2.019946898 -0.242304946  1.66835095 1.00  2574
veg[2]       1.786000000 0.000000000  1.786000000  1.786000000  1.78600000  NaN     0
veg[3]       2.190000000 0.000000000  2.190000000  2.190000000  2.19000000  NaN     0
veg[4]       1.651000000 0.000000000  1.651000000  1.651000000  1.65100000  NaN     0
veg[5]      -0.549000000 0.000000000 -0.549000000 -0.549000000 -0.54900000  NaN     0
veg[6]      -0.447000000 0.000000000 -0.447000000 -0.447000000 -0.44700000  NaN     0
veg[7]      -0.953000000 0.000000000 -0.953000000 -0.953000000 -0.95300000  NaN     0
veg[8]      -0.518000000 0.000000000 -0.518000000 -0.518000000 -0.51800000  NaN     0
veg[9]      -0.537000000 0.000000000 -0.537000000 -0.537000000 -0.53700000  NaN     0
veg[10]     -0.664000000 0.000000000 -0.664000000 -0.664000000 -0.66400000  NaN     0
veg[11]     -0.509000000 0.000000000 -0.509000000 -0.509000000 -0.50900000  NaN     0
veg[12]     -0.377000000 0.000000000 -0.377000000 -0.377000000 -0.37700000  NaN     0
veg[13]      0.075000000 0.000000000  0.075000000  0.075000000  0.07500000  NaN     0
veg[14]     -0.243000000 0.000000000 -0.243000000 -0.243000000 -0.24300000  NaN     0
veg[15]     -0.510000000 0.000000000 -0.510000000 -0.510000000 -0.51000000  NaN     0
veg[16]     -0.394000000 0.000000000 -0.394000000 -0.394000000 -0.39400000  NaN     0
veg[17]     -0.007437762 1.002417918 -1.940581451 -0.008955517  1.97210304 1.00 15000
