Date,Year,Month,Day,Dens,DensSE,Veg,VegSE,Rain,Max,Min,Wind,Gusts,Chill,Warn.18,Warns.18
2007-08-29,2007,8,29,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-08-30,2007,8,30,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-08-31,2007,8,31,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,0
2007-09-01,2007,9,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0
2007-09-02,2007,9,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-09-03,2007,9,3,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,0
2007-09-04,2007,9,4,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,0
2007-09-05,2007,9,5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-09-06,2007,9,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-09-07,2007,9,7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-09-08,2007,9,8,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-09-09,2007,9,9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-09-10,2007,9,10,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0
2007-09-11,2007,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2007-09-12,2007,9,12,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-09-13,2007,9,13,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-09-14,2007,9,14,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-09-15,2007,9,15,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,0
2007-09-16,2007,9,16,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-09-17,2007,9,17,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,0
2007-09-18,2007,9,18,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-09-19,2007,9,19,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,0
2007-09-20,2007,9,20,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,0
2007-09-21,2007,9,21,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-09-22,2007,9,22,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-09-23,2007,9,23,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-09-24,2007,9,24,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-09-25,2007,9,25,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,0
2007-09-26,2007,9,26,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-09-27,2007,9,27,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-09-28,2007,9,28,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,0
2007-09-29,2007,9,29,NA,NA,NA,NA,19.4,NA,NA,NA,NA,NA,NA,0
2007-09-30,2007,9,30,NA,NA,NA,NA,11.4,NA,NA,NA,NA,NA,NA,0
2007-10-01,2007,10,1,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,0
2007-10-02,2007,10,2,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,0
2007-10-03,2007,10,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-10-04,2007,10,4,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,0
2007-10-05,2007,10,5,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,0
2007-10-06,2007,10,6,NA,NA,NA,NA,13.4,NA,NA,NA,NA,NA,NA,0
2007-10-07,2007,10,7,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,0
2007-10-08,2007,10,8,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,0
2007-10-09,2007,10,9,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,0
2007-10-10,2007,10,10,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,0
2007-10-11,2007,10,11,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-10-12,2007,10,12,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,0
2007-10-13,2007,10,13,NA,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA,0
2007-10-14,2007,10,14,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-10-15,2007,10,15,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-10-16,2007,10,16,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-10-17,2007,10,17,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-10-18,2007,10,18,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-10-19,2007,10,19,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-10-20,2007,10,20,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-10-21,2007,10,21,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-10-22,2007,10,22,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-10-23,2007,10,23,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,0
2007-10-24,2007,10,24,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-10-25,2007,10,25,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-10-26,2007,10,26,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-10-27,2007,10,27,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-10-28,2007,10,28,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-10-29,2007,10,29,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,0
2007-10-30,2007,10,30,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-10-31,2007,10,31,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-01,2007,11,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-02,2007,11,2,NA,NA,NA,NA,11.8,NA,NA,NA,NA,NA,NA,0
2007-11-03,2007,11,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-04,2007,11,4,NA,NA,NA,NA,12.2,NA,NA,NA,NA,NA,NA,0
2007-11-05,2007,11,5,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,0
2007-11-06,2007,11,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-07,2007,11,7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-08,2007,11,8,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-09,2007,11,9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-10,2007,11,10,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-11,2007,11,11,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-12,2007,11,12,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-13,2007,11,13,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-14,2007,11,14,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-15,2007,11,15,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-16,2007,11,16,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-17,2007,11,17,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-18,2007,11,18,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-19,2007,11,19,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-20,2007,11,20,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-21,2007,11,21,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,0
2007-11-22,2007,11,22,NA,NA,NA,NA,18.2,NA,NA,NA,NA,NA,NA,0
2007-11-23,2007,11,23,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-24,2007,11,24,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-25,2007,11,25,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-26,2007,11,26,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-27,2007,11,27,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0
2007-11-28,2007,11,28,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-29,2007,11,29,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-11-30,2007,11,30,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-01,2007,12,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-02,2007,12,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-03,2007,12,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-04,2007,12,4,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,0
2007-12-05,2007,12,5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-06,2007,12,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-07,2007,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2007-12-08,2007,12,8,NA,NA,NA,NA,6.42,NA,NA,NA,NA,NA,NA,0
2007-12-09,2007,12,9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-10,2007,12,10,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-11,2007,12,11,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-12,2007,12,12,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-13,2007,12,13,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-14,2007,12,14,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-15,2007,12,15,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-16,2007,12,16,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,0
2007-12-17,2007,12,17,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-18,2007,12,18,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-19,2007,12,19,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-20,2007,12,20,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-21,2007,12,21,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-22,2007,12,22,NA,NA,NA,NA,23.4,NA,NA,NA,NA,NA,NA,0
2007-12-23,2007,12,23,NA,NA,NA,NA,15.4,NA,NA,NA,NA,NA,NA,0
2007-12-24,2007,12,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2007-12-25,2007,12,25,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-26,2007,12,26,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-27,2007,12,27,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-28,2007,12,28,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-29,2007,12,29,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-30,2007,12,30,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-12-31,2007,12,31,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2008-01-01,2008,1,1,NA,NA,NA,NA,0,25.01,16.8,0.9432100000000001,1.2250299999999998,832.0418279601165,0,0
2008-01-02,2008,1,2,NA,NA,NA,NA,0,19.21,16.3,0.3326,0.7553300000000001,822.1425736912538,0,0
2008-01-03,2008,1,3,NA,NA,NA,NA,0,18.56,16.68,2.3480399999999997,2.7451499999999998,873.6209582585466,0,0
2008-01-04,2008,1,4,NA,NA,NA,NA,0,22.38,16.8,1.53247,2.50176,866.1955254748708,0,0
2008-01-05,2008,1,5,NA,NA,NA,NA,0,26.06,18.23,0.3326,0.8748900000000002,798.8333398255095,0,0
2008-01-06,2008,1,6,NA,NA,NA,NA,0,20.8,15.82,1.6947299999999998,2.6512100000000003,885.9566382766368,0,0
2008-01-07,2008,1,7,NA,NA,NA,NA,0,18.55,15.58,0.7382500000000001,1.3787500000000001,855.6034289469508,0,0
2008-01-08,2008,1,8,NA,NA,NA,NA,0,19.05,16.19,0.5888,1.04142,834.9011164589656,0,0
2008-01-09,2008,1,9,NA,NA,NA,NA,0,20.3,15.76,0.7553300000000001,1.8655299999999997,867.2429861481457,0,0
2008-01-10,2008,1,10,NA,NA,NA,NA,0,27.67,18.45,0.4607000000000001,1.53674,815.9500305097963,0,0
2008-01-11,2008,1,11,NA,NA,NA,NA,0,28.3,16.41,1.7758599999999998,3.4753200000000004,893.3316187477894,0,0
2008-01-12,2008,1,12,NA,NA,NA,NA,0,19.25,14.62,0.08921000000000001,0.8706199999999997,851.3580972745233,0,0
2008-01-13,2008,1,13,NA,NA,NA,NA,0,17.62,14.31,2.23702,3.15934,923.1275981236502,0,0
2008-01-14,2008,1,14,NA,NA,NA,NA,0,17.69,14.51,0.53329,1.3232400000000002,870.1302699489355,0,0
2008-01-15,2008,1,15,NA,NA,NA,NA,0,20.5,14.31,0.14898999999999996,0.5034000000000001,838.0774176997816,0,0
2008-01-16,2008,1,16,NA,NA,NA,NA,0,17.76,16,1.6776499999999999,2.28399,874.2397922730204,0,0
2008-01-17,2008,1,17,NA,NA,NA,NA,0,19.15,16.05,1.0328800000000002,1.8142899999999997,861.2197353786671,0,0
2008-01-18,2008,1,18,NA,NA,NA,NA,0,21.64,18.05,1.6861899999999999,2.02352,834.6093413636768,0,0
2008-01-19,2008,1,19,NA,NA,NA,NA,0,19.44,17.65,0.36249,0.9901799999999998,811.4389713591443,0,0
2008-01-20,2008,1,20,NA,NA,NA,NA,5.2,19.8,16.84,1.12682,1.6989999999999998,924.0524532719361,0,0
2008-01-21,2008,1,21,NA,NA,NA,NA,3.2,16.8,15.07,1.7288900000000003,2.01925,932.7216752558306,0,0
2008-01-22,2008,1,22,NA,NA,NA,NA,0,19.1,15.22,0.5460999999999998,1.2634600000000002,857.2723023757766,0,0
2008-01-23,2008,1,23,NA,NA,NA,NA,0,20.17,15.82,-0.01754,0.4649699999999999,815.0188922993708,0,0
2008-01-24,2008,1,24,NA,NA,NA,NA,0,19.88,16.46,0.12336999999999998,0.6528499999999999,815.3803597961157,0,0
2008-01-25,2008,1,25,NA,NA,NA,NA,0,22.78,16.41,-0.10294000000000003,0.31979,798.3574333353196,0,0
2008-01-26,2008,1,26,NA,NA,NA,NA,0,27.49,18.61,0.26428000000000007,1.0328800000000002,798.653303529924,0,0
2008-01-27,2008,1,27,NA,NA,NA,NA,4,20.29,17.28,1.3958300000000001,2.2242100000000002,913.6686707321501,0,0
2008-01-28,2008,1,28,NA,NA,NA,NA,0,18.83,15.99,0.53329,1.2976199999999998,846.7036779143328,0,0
2008-01-29,2008,1,29,NA,NA,NA,NA,0,19.76,15.97,0.34541,0.77241,827.6205579389236,0,0
2008-01-30,2008,1,30,NA,NA,NA,NA,0,21.46,16.98,0.33687,0.84927,816.0982550084609,0,0
2008-01-31,2008,1,31,NA,NA,NA,NA,0,17.33,16.13,1.2848100000000002,2.1900500000000003,869.7858100051794,0,0
2008-02-01,2008,2,1,NA,NA,NA,NA,2.6,20.59,16.02,1.2293000000000003,2.2583699999999998,914.5680361710616,0,1
2008-02-02,2008,2,2,NA,NA,NA,NA,0,22.98,17.76,0.33687,1.6605699999999999,830.05137956532,0,1
2008-02-03,2008,2,3,NA,NA,NA,NA,0,21.99,17.77,0.6315,1.2079499999999999,816.83105839233,0,1
2008-02-04,2008,2,4,NA,NA,NA,NA,0.8,22.8,19.46,0.8578100000000002,1.1225500000000002,801.9451446687868,0,1
2008-02-05,2008,2,5,NA,NA,NA,NA,0,21.45,18.82,0.12763999999999998,0.4478899999999999,772.7473436395152,0,1
2008-02-06,2008,2,6,NA,NA,NA,NA,0,20.4,17.73,0.9218599999999999,2.16443,843.126247539178,0,1
2008-02-07,2008,2,7,NA,NA,NA,NA,0,17.28,15.47,2.51884,2.90314,897.5676505353359,0,1
2008-02-08,2008,2,8,NA,NA,NA,NA,0,16.18,14.55,0.9005099999999999,1.42999,873.109368255555,0,1
2008-02-09,2008,2,9,NA,NA,NA,NA,2.2,16.68,14.76,0.78522,1.3616700000000002,902.823359573812,0,1
2008-02-10,2008,2,10,NA,NA,NA,NA,5.8,18.53,15.27,0.2472000000000001,1.3018900000000002,944.362305809168,0,1
2008-02-11,2008,2,11,NA,NA,NA,NA,0.2,19.55,15.2,0.2557400000000001,0.79376,842.9855191522679,0,1
2008-02-12,2008,2,12,NA,NA,NA,NA,0,17.64,15.47,1.13963,2.18151,880.316021893654,0,1
2008-02-13,2008,2,13,NA,NA,NA,NA,0,16.65,15.12,1.63068,2.04487,882.3882309620677,0,1
2008-02-14,2008,2,14,NA,NA,NA,NA,0,18.37,15.97,0.52048,1.6136,856.7776373399499,0,1
2008-02-15,2008,2,15,NA,NA,NA,NA,0,21,15.17,0.36676,0.9645600000000001,847.1077347355971,0,1
2008-02-16,2008,2,16,NA,NA,NA,NA,0,21.03,16.72,1.2036799999999999,1.6691099999999999,846.6127548667404,0,1
2008-02-17,2008,2,17,NA,NA,NA,NA,0,22.01,17.08,1.49831,1.95093,848.4063753869018,0,1
2008-02-18,2008,2,18,NA,NA,NA,NA,0,23.35,18.02,0.9645600000000001,1.5111199999999996,821.9264223838996,0,1
2008-02-19,2008,2,19,NA,NA,NA,NA,0,26.3,17.91,0.36676,1.2250299999999998,815.2462922258179,0,1
2008-02-20,2008,2,20,NA,NA,NA,NA,0,21.62,15.44,1.1567100000000003,2.91168,898.2677718808355,0,1
2008-02-21,2008,2,21,NA,NA,NA,NA,11,18.9,16.63,1.7288900000000003,1.95093,1004.4126273306977,1,1
2008-02-22,2008,2,22,NA,NA,NA,NA,0,21.24,16.05,2.05768,3.6034200000000003,902.1518802850605,0,1
2008-02-23,2008,2,23,NA,NA,NA,NA,1.6,16.56,15.76,3.4283500000000005,3.812649999999999,937.2481469403392,0,1
2008-02-24,2008,2,24,NA,NA,NA,NA,2.2,16.43,15.29,2.91168,3.68028,952.2707399746479,0,1
2008-02-25,2008,2,25,NA,NA,NA,NA,0,17.1,14.83,0.9688300000000001,1.53674,872.2154184655024,0,1
2008-02-26,2008,2,26,NA,NA,NA,NA,0,18.06,14.85,0.1959599999999999,0.6784699999999999,839.4742172556296,0,1
2008-02-27,2008,2,27,NA,NA,NA,NA,0,17.3,15.05,0.77241,2.07476,884.3229484916089,0,1
2008-02-28,2008,2,28,NA,NA,NA,NA,0,15.26,14.55,1.7203499999999998,2.54446,904.613282949238,0,1
2008-02-29,2008,2,29,NA,NA,NA,NA,0,15.17,13.11,0.7553300000000001,1.4855,897.21185747254,0,1
2008-03-01,2008,3,1,NA,NA,NA,NA,0,16.55,13.71,0.15325999999999995,0.6912800000000001,856.3539172167207,0,2
2008-03-02,2008,3,2,NA,NA,NA,NA,0,19.9,14.57,1.3360500000000002,2.02352,890.6713235024283,0,2
2008-03-03,2008,3,3,NA,NA,NA,NA,0,23.9,16.57,0.18741999999999992,1.41718,841.5972232307912,0,2
2008-03-04,2008,3,4,NA,NA,NA,NA,0,18.2,15.09,0.56745,1.2634600000000002,859.2462894342451,0,2
2008-03-05,2008,3,5,NA,NA,NA,NA,0,19.98,15.46,1.2762699999999998,1.63495,865.3901443712751,0,2
2008-03-06,2008,3,6,NA,NA,NA,NA,0,18.24,15.28,1.3531300000000002,2.18578,883.5196888099044,0,2
2008-03-07,2008,3,7,NA,NA,NA,NA,0,17.72,14.15,0.48204999999999987,1.0328800000000002,864.8867646680006,0,2
2008-03-08,2008,3,8,NA,NA,NA,NA,0,21.47,13.68,0.029429999999999956,0.7169000000000001,858.0279035176907,0,2
2008-03-09,2008,3,9,NA,NA,NA,NA,0,22.6,15.9,0.6571199999999999,1.09693,841.2170897018732,0,2
2008-03-10,2008,3,10,NA,NA,NA,NA,0,26.01,16.88,0.9133200000000001,1.2848100000000002,832.743824711031,0,2
2008-03-11,2008,3,11,NA,NA,NA,NA,0,17.55,15.1,0.27709000000000006,0.97736999999999985,848.6415971478582,0,2
2008-03-12,2008,3,12,NA,NA,NA,NA,0,20.56,16.36,0.11909999999999987,0.5290199999999998,810.8902094656228,0,2
2008-03-13,2008,3,13,NA,NA,NA,NA,0,26.03,16.76,0.6699299999999999,1.5111199999999996,841.4699752594098,0,2
2008-03-14,2008,3,14,NA,NA,NA,NA,0,29.36,17.75,0.81511,1.3232400000000002,820.6684388530331,0,2
2008-03-15,2008,3,15,NA,NA,NA,NA,0,21.58,16.84,0.39237999999999995,1.16098,829.331315449813,0,2
2008-03-16,2008,3,16,NA,NA,NA,NA,0,30.15,19.22,0.31979,0.9730999999999999,787.6716714995159,0,2
2008-03-17,2008,3,17,NA,NA,NA,NA,0,31.31,20.4,-0.055970000000000075,0.6998200000000001,761.1489268038584,0,2
2008-03-18,2008,3,18,NA,NA,NA,NA,0,24.31,16.57,1.45134,2.2882599999999997,865.0029081300181,0,2
2008-03-19,2008,3,19,NA,NA,NA,NA,0,20,15.54,0.2130399999999999,0.7339800000000001,832.1441304987643,0,2
2008-03-20,2008,3,20,NA,NA,NA,NA,0,17.73,14.61,1.7246199999999998,3.11664,917.0159319095924,0,2
2008-03-21,2008,3,21,NA,NA,NA,NA,0,16.25,14.08,0.79376,1.3830199999999997,878.7594551717175,0,2
2008-03-22,2008,3,22,NA,NA,NA,NA,0,19.73,14.4,1.3702100000000002,1.95093,891.3666321947942,0,2
2008-03-23,2008,3,23,NA,NA,NA,NA,NA,21.67,17.8,0.6528499999999999,1.6520299999999999,NA,NA,2
2008-03-24,2008,3,24,NA,NA,NA,NA,4.8,24.05,18.55,0.30271000000000003,0.76387,863.1031307263215,0,2
2008-03-25,2008,3,25,NA,NA,NA,NA,2.2,20.54,17.73,0.61442,1.1737899999999999,851.5667366237423,0,2
2008-03-26,2008,3,26,NA,NA,NA,NA,3.6,17.69,12.93,2.2242100000000002,2.9629200000000004,998.225382261855,0,2
2008-03-27,2008,3,27,NA,NA,NA,NA,9.6,14.55,12.75,0.8706199999999997,1.4855,1036.07111387133,1,2
2008-03-28,2008,3,28,NA,NA,NA,NA,6.6,15.17,13,0.6955499999999999,0.9261300000000001,974.436298034414,0,2
2008-03-29,2008,3,29,NA,NA,NA,NA,0,15.69,12.94,1.54528,2.85617,939.3710772733791,0,2
2008-03-30,2008,3,30,NA,NA,NA,NA,2.6,17.34,13.43,2.2455600000000002,2.8518999999999997,972.2546684964327,0,2
2008-03-31,2008,3,31,NA,NA,NA,NA,16.4,15.89,14.51,2.43771,3.00562,1117.3162956851672,1,2
2008-04-01,2008,4,1,NA,NA,NA,NA,2.6,19.69,13.41,0.59307,1.1951399999999999,923.5042352494355,0,4
2008-04-02,2008,4,2,NA,NA,NA,NA,0,20.87,13.89,2.10465,3.6418500000000003,940.9518235844648,0,4
2008-04-03,2008,4,3,NA,NA,NA,NA,26.6,14.69,13.26,2.9543799999999996,3.4454299999999995,1221.4843495736473,1,4
2008-04-04,2008,4,4,NA,NA,NA,NA,2.8,17.3,14.01,1.8228300000000002,2.02779,944.1031524196445,0,4
2008-04-05,2008,4,5,NA,NA,NA,NA,1,17.28,15.17,1.3360500000000002,1.8185600000000002,891.7021800985459,0,4
2008-04-06,2008,4,6,NA,NA,NA,NA,0,17.69,14.73,0.24292999999999987,0.5076700000000001,832.4748683782151,0,4
2008-04-07,2008,4,7,NA,NA,NA,NA,0,18.79,14.04,1.02007,1.63068,887.4983080087617,0,4
2008-04-08,2008,4,8,NA,NA,NA,NA,0,19.3,16.2,1.44707,1.63068,853.6756444764457,0,4
2008-04-09,2008,4,9,NA,NA,NA,NA,0,20.76,15.57,0.17887999999999993,1.2506500000000003,851.5250799465219,0,4
2008-04-10,2008,4,10,NA,NA,NA,NA,0,20.44,16.9,0.016619999999999968,1.41718,836.51838910078,0,4
2008-04-11,2008,4,11,NA,NA,NA,NA,0,21.8,16.38,0.59307,1.4940399999999996,846.8539308197909,0,4
